"bird_sp" "plant_sp" "int_s" "n.studies" "freq" "bird.gape" "seed.size" "family"
"Antilophia_galeata" "Acacia_auriculiformis" 0 0 0 9.54 4 "Pipridae"
"Antilophia_galeata" "Ficus_citrifolia" 0 0 0 9.54 1.2 "Pipridae"
"Antilophia_galeata" "Ficus_trigona" 0 0 0 9.54 1.1 "Pipridae"
"Antilophia_galeata" "Piper_aduncum" 0 0 0 9.54 0.895 "Pipridae"
"Antilophia_galeata" "Psidium_cattleianum" 0 0 0 9.54 4 "Pipridae"
"Antilophia_galeata" "Alchornea_sidifolia" 0 0 0 9.54 6 "Pipridae"
"Antilophia_galeata" "Ficus_benjamina" 0 1 0 9.54 1.21 "Pipridae"
"Antilophia_galeata" "Ficus_hirsuta" 0 0 0 9.54 1 "Pipridae"
"Antilophia_galeata" "Ficus_organensis" 0 0 0 9.54 0.7 "Pipridae"
"Antilophia_galeata" "Miconia_ligustroides" 0 0 0 9.54 1.3 "Pipridae"
"Antilophia_galeata" "Plinia_cauliflora" 0 0 0 9.54 10 "Pipridae"
"Antilophia_galeata" "Eugenia_cerasiflora" 0 0 0 9.54 14 "Pipridae"
"Antilophia_galeata" "Maclura_tinctoria" 0 0 0 9.54 2.5 "Pipridae"
"Antilophia_galeata" "Myrcia_palustris" 0 0 0 9.54 5.12 "Pipridae"
"Antilophia_galeata" "Lantana_camara" 0 0 0 9.54 4.3 "Pipridae"
"Antilophia_galeata" "Lantana_pohliana" 0 0 0 9.54 3.3 "Pipridae"
"Antilophia_galeata" "Euterpe_oleracea" 0 0 0 9.54 10.18 "Pipridae"
"Antilophia_galeata" "Melia_azedarach" 0 1 0 9.54 3.5 "Pipridae"
"Antilophia_galeata" "Leandra_carassana" 0 0 0 9.54 1.14 "Pipridae"
"Antilophia_galeata" "Eugenia_umbelliflora" 0 0 0 9.54 12.06 "Pipridae"
"Antilophia_galeata" "Sapium_glandulosum" 0 0 0 9.54 5 "Pipridae"
"Antilophia_galeata" "Vitex_megapotamica" 0 0 0 9.54 13.3 "Pipridae"
"Antilophia_galeata" "Leandra_melastomoides" 0 0 0 9.54 0.97 "Pipridae"
"Antilophia_galeata" "Matayba_guianensis" 0 0 0 9.54 11.1 "Pipridae"
"Antilophia_galeata" "Archontophoenix_cunninghamiana" 0 0 0 9.54 12.85 "Pipridae"
"Antilophia_galeata" "Syagrus_romanzoffiana" 0 0 0 9.54 21 "Pipridae"
"Antilophia_galeata" "Cecropia_hololeuca" 0 0 0 9.54 2.9 "Pipridae"
"Antilophia_galeata" "Celtis_iguanaea" 0 0 0 9.54 7 "Pipridae"
"Antilophia_galeata" "Calyptranthes_clusiifolia" 0 0 0 9.54 5.4 "Pipridae"
"Antilophia_galeata" "Campomanesia_guazumifolia" 0 0 0 9.54 10 "Pipridae"
"Antilophia_galeata" "Eugenia_florida" 0 0 0 9.54 10 "Pipridae"
"Antilophia_galeata" "Eugenia_pyriformis" 0 0 0 9.54 16.6 "Pipridae"
"Antilophia_galeata" "Eugenia_verticillata" 0 0 0 9.54 7 "Pipridae"
"Antilophia_galeata" "Ficus_guaranitica" 0 0 0 9.54 2.4 "Pipridae"
"Antilophia_galeata" "Guarea_kunthiana" 0 0 0 9.54 20 "Pipridae"
"Antilophia_galeata" "Holocalyx_balansae" 0 0 0 9.54 2.1 "Pipridae"
"Antilophia_galeata" "Myrcia_ilheosensis" 0 0 0 9.54 3.9 "Pipridae"
"Antilophia_galeata" "Ficus_insipida" 0 0 0 9.54 2.8 "Pipridae"
"Antilophia_galeata" "Inga_laurina" 0 0 0 9.54 22 "Pipridae"
"Antilophia_galeata" "Roystonea_oleraceae" 0 0 0 9.54 9 "Pipridae"
"Antilophia_galeata" "Eugenia_astringens" 0 0 0 9.54 13.62 "Pipridae"
